ID,SMILES
CP00002,CCC(C)C1NC(=O)CNC(=O)C2Cc3c([nH]c4cc(O)ccc34)S(=O)CC(NC(=O)CNC1=O)C(=O)NC(CC(N)=O)C(=O)N1CC(O)CC1C(=O)NC(C(C)C(O)CO)C(=O)N2
CP00003,CCC(C)C1NC(=O)CNC(=O)C2Cc3c([nH]c4cc(O)ccc34)S(=O)CC(NC(=O)CNC1=O)C(=O)NC(CC(=O)O)C(=O)N1CC(O)CC1C(=O)NC(C(C)C(O)CO)C(=O)N2
CP00004,CC1(C)NC(=O)[C@H](CCCCCC(=O)[C@@H]2CO2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O
CP00005,CC(O)C(NC(=O)C1NC(=O)C(C(C)O)NC(=O)C(CCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(NC(=O)C(N)Cc2ccccc2)CSSC1(C)C)C(N)=O
CP00006,CC(C)C[C@@H]1NC(=O)CNC1=O
CP00008,CC=C1NC(=O)C2CSSCCC=CC(CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O
CP00009,CC1=CC(C)CC(C)OC(=O)CC(c2ccc(O)cc2)NC(=O)C(Cc2c(Br)[nH]c3ccccc23)N(C)C(=O)C(C)NC(=O)C(C)C1
CP00010,CCC(C)C1NC(=O)C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C2CSSCC(NC1=O)C(=O)N2
CP00011,CC1NC(=O)C(CC(C)(O)CO)NC(=O)C2Cc3c([nH]c4ccccc34)SCC(NC(=O)C(C(C)O)NC1=O)C(=O)N1CC(O)CC1C(=O)NC(C)C(=O)N2
CP00012,CC(C)C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)CNC(=O)C(=Cc2ccccc2)N(C)C1=O
CP00013,CC(C)CC1NC(=O)C2N=C(OC2C)C2CSSCC(NC(=O)c3csc1n3)C1=NC(C(=O)NC(CC(C)C)c3nc(cs3)C(=O)N2)C(C)O1
CP00015,O=C1CNC(=O)CN1
CP00016,CCC(C)C1NC(=O)CNC(=O)C2Cc3c([nH]c4cc(O)ccc34)SCC(NC(=O)CNC1=O)C(=O)NC(CC(N)=O)C(=O)N1CC(O)CC1C(=O)NC(C(C)C(C)O)C(=O)N2
CP00017,CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C
CP00019,CC(=O)O.NC(=O)CCC1NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccc(O)cc2)NC(=O)CCSSCC(C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O
CP00020,CCC(C)CCCCC(=O)N[C@@H](CCN)C(=O)NC(C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H](C(C)O)NC(=O)[C@@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](C(C)CC)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O
CP00021,Cc1c2oc3c(C)c(N)cc(C(=O)NC4C(=O)NC(C(C)C)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O
CP00022,CC[C@H](C)C1NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)C(CCN)NC(=O)C(NC(=O)[C@H](CCN)NC(=O)CCCCC(C)C)[C@@H](C)O)CCNC(=O)C([C@@H](C)O)NC(=O)[C@@H](CCN)NC(=O)[C@H](CCN)NC1=O
CP00024,CC[C@H](C)C1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](N)CSSCC(C(=O)N2CCCC2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC1=O
CP00025,CC=CCC(C)C(O)C1C(=O)NC(CCC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C
CP00026,CC(C)C1NC(=O)C(CCCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(NC(=O)C(N)Cc2ccccc2)CSSCC(C(=O)NC(Cc2c[nH]c3ccccc23)C(N)=O)NC1=O
CP00027,CC(C)C1NC(=O)C(CCCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(NC(=O)C(N)Cc2ccc3ccccc3c2)CSSCC(C(=O)NC(C(N)=O)C(C)O)NC1=O
CP00030,C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O)CSSC[C@@H](C(=O)N[C@H](CO)[C@@H](C)O)NC1=O
CP00032,NC(N)=NCCC[C@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NC1=O
CP00033,CCCCCCC[C@@H](O)CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H]1C(=O)N[C@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CO)C(=O)N[C@@H]([C@@H](C)CC)C(=O)O[C@@H]1C
CP00034,CCC(C)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@H]1C(=O)N[C@H](CC(C)C)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H](CO)C(=O)O[C@H]1C
CP00040,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)OC(=O)CCNC(=O)[C@@H](C)N(C)C(=O)[C@H](C(C)C)N(C)C1=O
CP00041,COc1ccc(C[C@H]2C(=O)N[C@H](C)C(=O)N(C)[C@H]3C(=O)N(C)[C@H](Cc4ccc(O)c(c4)Oc4ccc(cc4)C3O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N2C)cc1
CP00042,O=C1N[C@@H](Cc2ccccc2)C(=O)N[C@H]1Cc1ccccc1
